Date,Open,High,Low,Close,Adj Close,Volume,MA5
06-02-2024,27.24,29.808,27.12,28.293,28.293,433633,26.4906
05-02-2024,28.5,29.34,27.39,27.51,27.51,251800,26.9646
02-02-2024,32.7,32.82,29.97,30.33,30.33,44000,27.9966
01-02-2024,34.65,35.34,33.6,33.75,33.75,49700,29.3286
31-01-2024,35.46,36.18,34.71,35.373,35.373,57600,31.0512
30-01-2024,33.87,34.5,33.24,34.08,34.08,65433,32.2086
29-01-2024,35.82,36.06,34.419,34.419,34.419,42300,33.5904
26-01-2024,36.18,36.534,35.34,35.97,35.97,40533,34.7184
25-01-2024,34.62,36.15,34.23,35.394,35.394,15067,35.0472
24-01-2024,37.35,37.35,33.867,35.55,35.55,29333,35.0826
23-01-2024,39,39,37.461,37.461,37.461,5533,35.7588
22-01-2024,37.35,38.28,37.02,37.74,37.74,24833,36.423
19-01-2024,40.32,41.04,37.956,37.956,37.956,42467,36.8202
18-01-2024,41.34,42.795,40.77,41.508,41.508,23433,38.043
17-01-2024,42.63,44.745,42.63,43.08,43.08,9600,39.549
16-01-2024,44.91,44.91,41.913,42.63,42.63,41833,40.5828
12-01-2024,45.687,45.87,44.94,45.243,45.243,20433,42.0834
11-01-2024,44.85,47.04,44.343,45.15,45.15,32700,43.5222
10-01-2024,47.19,47.19,45.57,45.87,45.87,12233,44.3946
09-01-2024,49.47,50.52,45.903,48.069,48.069,17633,45.3924
08-01-2024,56.04,56.04,49.827,49.827,49.827,12467,46.8318
05-01-2024,58.614,58.62,56.07,57.075,57.075,3833,49.1982
04-01-2024,59.76,60.03,58.551,59.697,59.697,2233,52.1076
03-01-2024,60.477,61.08,59.31,60.726,60.726,4767,55.0788
02-01-2024,56.67,60.423,56.67,59.547,59.547,4067,57.3744
29-12-2023,55.44,57.84,55.26,56.229,56.229,4733,58.6548
28-12-2023,56.367,56.406,55.35,56.22,56.22,8367,58.4838
27-12-2023,56.43,57.09,56.31,56.4,56.4,3167,57.8244
26-12-2023,,,,,6.5220 Dividend,,
26-12-2023,56.547,56.691,55.77,56.691,56.691,7233,
22-12-2023,63.243,65.1,63.18,64.128,57.606,2933,
21-12-2023,63.78,64.917,63.774,63.774,57.288,2567,
20-12-2023,62.25,65.91,61.5,65.769,59.0801,3033,
19-12-2023,62.7,63.96,62.34,62.4,56.0537,1167,62.5524
18-12-2023,61.863,62.13,60.27,60.864,54.674,14133,63.387
15-12-2023,65.28,65.28,63.15,64.14,57.6168,2767,63.3894
14-12-2023,65.76,67.95,65.673,65.883,59.1825,4400,63.8112
13-12-2023,65.1,66.648,65.019,66.648,59.8697,4067,63.987
12-12-2023,71.4,71.4,67.788,67.788,60.8938,3367,65.0646
11-12-2023,67.98,72.78,67.98,70.869,63.6614,4767,67.0656
08-12-2023,68.85,68.91,67.65,68.193,61.2576,4800,67.8762
07-12-2023,74.61,74.61,70.95,70.95,63.7342,8233,68.8896
06-12-2023,69.264,74.79,68.76,74.79,67.1836,7467,70.518
05-12-2023,74.4,74.43,71.28,71.394,64.133,9367,71.2392
04-12-2023,73.23,76.11,73.23,74.73,67.1297,10933,72.0114
01-12-2023,72.57,72.57,69.57,70.884,63.6749,3133,72.5496
30-11-2023,67.737,71.58,67.737,70.821,63.6183,4567,72.5238
29-11-2023,66.63,67.44,65.25,67.005,60.1904,1367,70.9668
28-11-2023,67.383,68.76,67.11,68.094,61.1686,9000,70.3068
27-11-2023,68.13,68.31,66.243,66.747,59.9586,2900,68.7102
24-11-2023,65.1,67.59,65.1,67.533,60.6647,4900,68.04
22-11-2023,62.82,67.752,61.563,65.283,58.6435,20933,66.9324
21-11-2023,61.5,63.6,61.5,62.37,56.0268,9733,66.0054
20-11-2023,63.21,64.62,60.93,61.311,55.0755,8133,64.6488
17-11-2023,63.93,64.47,63.21,64.146,57.6222,2633,64.1286
16-11-2023,65.592,66.015,63.63,63.75,57.2664,4733,63.372
15-11-2023,63.411,66.6,62.925,65.421,58.7675,12800,63.3996
14-11-2023,63.93,64.74,63.18,63.222,56.7921,7867,63.57
13-11-2023,67.02,67.23,64.77,66.09,59.3685,6267,64.5258
10-11-2023,69.57,69.75,66.624,66.78,59.9883,5900,65.0526
09-11-2023,68.556,71.49,67.677,71.004,63.7827,8300,66.5034
08-11-2023,73.152,73.17,71.361,72.213,64.8687,2000,67.8618
07-11-2023,75.21,75.33,73.47,74.157,66.615,3800,70.0488
06-11-2023,74.52,76.5,74.52,74.868,67.2537,3667,71.8044
03-11-2023,81.48,81.48,76.47,77.4,69.5282,5433,73.9284
02-11-2023,83.94,85.65,82.17,82.887,74.4572,6433,76.305
01-11-2023,93.75,93.75,87.684,87.684,78.7663,5633,79.3992
31-10-2023,96.9,101.61,94.59,94.938,85.2825,12667,83.5554
30-10-2023,92.88,95.46,91.05,92.94,83.4877,1733,87.1698
27-10-2023,93.33,97.86,93.33,96.468,86.6569,1900,90.9834
26-10-2023,90.72,97.95,88.89,97.047,87.177,6100,93.8154
25-10-2023,84.36,91.359,84.36,90.765,81.5339,967,94.4316
24-10-2023,87,87,83.499,83.499,75.0069,1233,92.1438
23-10-2023,94.5,94.77,85.38,86.361,77.5778,7433,90.828
20-10-2023,91.485,93.99,89.358,93.747,84.2127,1633,90.2838
19-10-2023,87.96,90.327,87.18,90.327,81.1405,500,88.9398
